Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Matazo Eliot;MD;7;10;4.83;5;4.81;9;1;18;0.43;0;0.57;0;0;0;0.56;0;0.5;443;45;803;49.22;45;44.61;;;;1000;5;0;0;4.5;0;0;5.5;4.5;5.5;0;4.5;5;0;0;0;0;4.5;0;4.5;4.5;0;0;6;4.5;0;0;0;0;0;0;0;4.5;0;4.5;4.5;4.5;0;4;1;;;;;;;0.7395;224;3;1;32.35;6;;;0;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Henrique;DL;1;3;4.83;0;5;3;0;17;0.29;0;0.53;0;0;0;0.33;0;0.65;128;0;1014;42.67;0;59.65;;;;1000;0;0;0;0;0;0;0;0;0;0;5;0;0;4.5;0;0;5;0;0;6.5;4.5;0;5;5.5;0;5.5;5;5;5;0;5;0;0;5;4;5;5;0;1;;;;;;;0.9004;101;1;1;65;2;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Alemdar Dogan;G;7;7;4.83;0;5.23;3;0;15;1.53;0;1.05;0;0;0;0.67;0;0.93;225;0;1305;75;0;87;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;6.5;3.5;0;0;0;0;6;6;5;4;7.5;5.5;4.5;0;0;0;0;4;5.5;5;5.5;5.5;;;;;;;;;;;;;;2;2;6,00;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Dong Kyliane;A;1;1;4.83;0;4.83;3;0;3;0.29;0;0.29;0;0;0;0;0;0;55;0;55;18.33;0;18.33;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;2;0.5611;25;;1;33.33;;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;🏠Hors groupe
Costil Benoît;G;15;17;4.82;4.82;4.46;19;19;26;1.45;1.45;1.46;0;0;0;1;1;1;1710;1710;2340;90;90;90;;;;1000;5;2.5;5;4;2.5;6;6;7;4.5;5;5.5;4;3;5;5.5;7;7;4;3;0;0;2.5;4.5;2.5;0;0;0;0;3.5;0;0;0;0;0;0;0;2.5;5;2;;;;;;;;;;;;;31;24;7,00;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Perrin Lucas;DC;8;10;4.81;4.88;5;13;4;30;0.6;0.85;0.88;0;0;1;0.69;1;0.87;910;360;2384;70;90;79.47;;2384;6;1000;6;4;4.5;5;0;5;4;4.5;0;4;5;5;0;0;0;0;5.5;5;5;2.5;0;0;5.5;4.5;6;4.5;5;0;5;6;5;5;6;5;5.5;3.5;5.5;6;1;;;;;1;1;0.8409;554;16;15;60.49;8;;;4.5;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Mayembo Fernand;DC;8;8;4.81;5;4.83;8;4;15;0.92;1.08;1.08;0;0;0;0.75;0.75;0.8;540;256;1118;67.5;64;74.53;;;;1000;3.5;5.5;5;6;0;0;5;0;0;0;0;0;0;0;0;3.5;4.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;6;6;3;3;5.5;5;5.5;0;1.5;;;;;;;0.8755;318;6;2;65.71;7;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Le Marchand Maxime;DC;8;9;4.8;5.5;5;15;2;19;0.73;0;0.85;0;0;0;0.8;0;0.74;1026;57;1234;68.4;28.5;64.95;;;;1000;5.5;5.5;0;0;5;3;4.5;4.5;3.5;5.5;5;0;5;5;0;5;5.5;5;4.5;0;7;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;;;;;1;1;0.7844;791;21;16;62.39;17;;;4.5;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Aouchiche Adil;MO;7;7;4.8;5;4.92;5;1;25;0.27;0;0.43;0;0;0;0;0;0.24;69;20;707;13.8;20;28.28;;;;1000;5;0;0;5;0;4.5;5;0;0;0;0;0;4.5;0;0;0;0;0;0;5.5;0;5;5.5;4.5;4.5;5;4;5;5;5;5;5;4.5;5;5.5;4;5.5;0;;;;;;;2;0.8494;53;1;;20;2;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Adeline Martin;MO;1;1;4.8;0;4.54;5;0;12;0.45;0;1.5;0;0;0;0;0;0.17;102;0;330;20.4;0;27.5;;;;1000;0;4.5;0;0;0;0;0;0;0;0;5;0;0;0;4.5;0;0;4.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;6;4.5;0;;;;;;;;0.6831;66;3;3;41.67;5;;;6,00;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Fayad Khalil;MD;9;12;4.8;5;4.8;10;1;10;0.79;0;0.79;0;0;0;0.4;0;0.4;337;11;337;33.7;11;33.7;;;;1000;5;0;0;0;5;5;0;4.5;5;5.5;0;4.5;0;4.5;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;1;;0.7928;250;2;7;46.15;8;;;3,00;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Rami Adil;DC;5;7;4.79;0;4.88;7;0;16;0.91;0;0.85;0;0;1;0.71;0;0.75;537;0;1086;76.71;0;67.88;;1086;3.5;1000;0;0;0;0;0;0;0;0;5;4.5;0;0;6;5;0;5;3;5;0;5;0;0;0;0;4.5;0;0;5;5;0;0;6;4;3.5;6;0;5.5;0;;;;;;;1;0.8263;278;9;7;56.1;5;;;6,00;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Touré Isaak;DC;6;6;4.79;4.75;4.44;7;2;16;0.27;0.35;0.93;0;0;0;0.14;0.5;0.5;142;77;700;20.29;38.5;43.75;;;;1000;4.5;5;0;0;0;5;4.5;0;0;0;5;0;4.5;0;5;0;0;0;0;0;5;4;0;5;0;0;0;3;0;0;0;0;3;2.5;6;0;4;5;1;;;;;;;0.626;92;1;1;50;5;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Raveloson Rayan;MD;9;9;4.78;4.25;4.78;16;2;16;0.77;0.35;0.77;0;0;0;0.63;1;0.63;911;180;911;56.94;90;56.94;;;;1000;4.5;4;0;5;3;5.5;6;5;5;5;5.5;5;3.5;4.5;5.5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;3;0.8308;522;18;8;53.16;12;;;4.5;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Matis Carvalho Matis;G;3;3;4.75;0;4.75;2;0;2;1.06;0;1.06;0;0;0;0.5;0;0.5;135;0;135;67.5;0;67.5;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;2;3;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;🏠Hors groupe (2sem.)
Bain Dénys;DC;1;2;4.75;0;4.17;2;0;3;0.35;0;1.04;0;0;0;0.5;0;0.67;125;0;215;62.5;0;71.67;;;;1000;0;0;0;0;0;0;0;0;0;4.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;;;;;;;;0.9126;71;2;3;69.23;2;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Yongwa Darline;DL;1;1;4.75;0;4.82;2;0;14;0.35;0;0.7;0;0;0;0;0;0.79;38;0;1013;19;0;72.36;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4.5;0;0;0;0;5;0;0;0;3;6;5;4.5;5.5;0;0;4.5;4.5;5.5;0;5;5;0;4.5;;;;;;;1;0.3334;27;;2;50;2;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Diomandé Sinaly;DC;9;9;4.75;4;4.78;8;1;9;0.71;0;0.67;0;0;0;0.88;1;0.78;623;78;624;77.88;78;69.33;;;;1000;4;0;5.5;4.5;5.5;5;0;4;4;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;;;;;;;0.859;604;17;8;66.18;9;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Doucouré Siriné;A;6;7;4.75;0;4.75;4;0;4;0.5;0;0.5;0;0;0;0;0;0;41;0;41;10.25;0;10.25;;;;1000;0;0;4.5;0;0;0;0;5.5;0;4.5;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;2;0.5625;37;1;2;42.11;3;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Diallo Baila;DC;4;4;4.75;0;4.75;2;0;2;0.35;0;0.35;0;0;0;0;0;0;32;0;32;16;0;16;;;;1000;0;0;0;0;4.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.65;25;;;66.67;;;;0;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Botué Jean;MO;1;2;4.75;5;4.75;6;2;6;0.42;0;0.42;0;0;0;0.33;0;0.33;202;39;202;33.67;19.5;33.67;;;;1000;5;5;0;0;0;0;0;0;0;4.5;0;0;0;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.7136;78;;2;41.3;5;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Ousmane Camara;DC;5;5;4.75;0;4.75;2;0;2;0.35;0;0.35;0;0;0;0;0;0;16;0;16;8;0;8;;;;1000;0;0;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;0.8334;8;;;25;2;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Labeau Lascary Rémy;MD;3;3;4.75;0;4.75;2;0;2;0.35;0;0.35;0;0;0;0;0;0;36;0;36;18;0;18;;;;1000;0;4.5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.875;23;;2;60;1;;;0;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Brassier Lilian;DC;11;13;4.74;5.25;4.92;17;2;33;0.87;0.35;1.08;0;0;1;0.94;0.5;0.85;1383;92;2568;81.35;46;77.82;;2568;8;1000;5.5;5;0;3.5;5.5;5;6;5.5;3.5;0;5.5;4.5;5;5;4.5;3.5;5;5;3;3;3.5;5;8;5;5;5;5;5.5;0;3;6.5;5;5.5;5.5;0;6.5;5;0;2.5;;;;;3;6;0.7332;967;29;8;52.53;11;;;5,00;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Rosario Pablo;MD;10;12;4.73;0;5.02;13;0;32;0.6;0;0.84;0;0;0;0.69;0;0.81;865;0;2357;66.54;0;73.66;;;;1000;0;5;4;5.5;0;0;5.5;0;4;4.5;5;0;0;5.5;4.5;4;4;5;5;5;3.5;5;6;6;5;4.5;3.5;6.5;5;6;5.5;5;6;4;0;5;5;7;0.5;;;;;;1;0.9003;577;14;6;48.48;11;;;4,00;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Sacko Falaye;DL;10;11;4.72;4.43;4.94;16;7;25;1.28;0.84;1.15;0;0;0;0.81;0.86;0.84;1144;532;1811;71.5;76;72.44;;;;1000;5;3;4.5;5;5;5;3.5;0;0;5;5.5;0;4.5;4.5;6.5;7.5;5;2;4;6.5;5.5;0;0;0;0;0;0;0;5;5.5;6;4.5;4;5;6;0;0;0;3;;;;2;;3;0.8314;721;18;12;53.85;13;;;5,00;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Doku Jérémy;MO;9;9;4.71;4.6;4.93;12;5;20;0.54;0.55;0.83;0;0;0;0.17;0.2;0.2;346;192;609;28.83;38.4;30.45;;;;1000;4.5;4;5.5;4.5;4.5;0;4;0;0;0;4.5;4.5;0;0;0;4.5;5;5.5;5.5;4.5;0;5;0;0;0;0;0;0;0;4;5.5;4.5;0;0;0;6;7.5;5;1;;;;;1;8;0.7271;261;4;7;46.25;8;;;5.5;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Brahimi Billal;A;9;10;4.71;5;4.73;12;1;24;0.54;0;0.47;0;0;0;0.25;0;0.25;366;21;809;30.5;21;33.71;;;;1000;5;0;4.5;0;4.5;4.5;5.5;4.5;0;0;0;4.5;0;0;4.5;4.5;4;4.5;6;5;4;5;4.5;5;5.5;4.5;5;0;0;4.5;0;0;0;4.5;4.5;0;5;0;;;;;2;1;7;0.8514;242;3;1;25;2;;;4.25;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Mendy Arial;DL;1;1;4.7;0;4.69;5;0;16;0.45;0;0.68;0;0;0;0.2;0;0.38;219;0;643;43.8;0;40.19;;;;1000;0;0;0;0;0;0;5;0;0;0;0;4.5;0;5;4;5;0;0;0;5;5;0;0;4;6;5;3;0;5;0;0;0;0;4.5;5;0;5;0;;;;;;;2;0.7586;158;3;2;64;1;;;5,00;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Kumbedi Sael;DL;7;7;4.7;4.63;4.41;5;4;11;0.45;0.48;1.61;0;0;0;0.6;0.75;0.55;297;281;482;59.4;70.25;43.82;;;;1000;5;5;4;4.5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;;;;;;2;0.9047;225;;6;34.78;11;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;Sursis (3sem.)
Palmer-Brown Erik;DC;12;13;4.68;4.68;4.82;19;19;36;1.07;1.07;1.16;0;0;0;0.95;0.95;0.94;1610;1610;3082;84.74;84.74;85.61;;;;1000;3;3.5;4;5.5;5;6;5;5;5;3;5;6;4.5;6;6;5.5;3;3.5;4.5;5.5;3.5;4;6;5;5;7;6;4;4.5;6;6.5;5;3.5;2;5.5;0;5.5;0;1.5;;;;;;2;0.8496;942;16;13;60.61;10;;;4,00;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Camblan Axel;MO;6;7;4.67;5;4.67;6;2;6;0.41;0;0.41;0;0;0;0;0;0;46;8;46;7.67;4;7.67;;;;1000;5;5;0;5;0;4;4.5;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;0.6968;41;;1;50;3;;;0;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Alphonse Mickaël;DL;10;10;4.66;4.92;4.66;16;6;16;0.44;0.2;0.44;0;0;0;0.5;0.17;0.5;768;130;768;48;21.67;48;;;;1000;5;5;5;5;4.5;5;0;0;5;4.5;4.5;5;5;0;4;4.5;3.5;4.5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;;;;;;10;0.5605;562;17;10;51.04;10;;;4.5;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Kévin Keben Kévin;DC;7;8;4.65;0;4.65;10;0;10;0.34;0;0.34;0;0;0;0.3;0;0.3;299;0;299;29.9;0;29.9;;;;1000;0;0;0;0;4.5;4;4.5;0;0;5;4.5;4.5;5;0;0;4.5;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;2;0.7306;172;4;2;38.71;2;;;0;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Chardonnet Brendan;DC;11;12;4.64;4.88;4.85;18;8;34;1.04;0.88;1.01;0;0;1;0.94;1;0.94;1575;720;2822;87.5;90;83;;2822;6;1000;4.5;5;5;3;5;5;5.5;6;0;3.5;5;5.5;4.5;5;4;2.5;6;5.5;3;3;5;5.5;6;6;5.5;4.5;6;6;5.5;0;0;3.5;0;5.5;4.5;6;5;4;2;;;;;;1;0.8211;1036;36;17;63.13;25;;;5.75;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;† Cuisse (2sem.)
Zaïre-Emery Warren;MD;7;7;4.64;4.33;4.64;7;3;7;0.56;0.76;0.56;0;0;0;0.14;0.33;0.14;124;100;124;17.71;33.33;17.71;;;;1000;3.5;5;4.5;0;4.5;0;0;5;0;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;0.7959;102;2;1;25;1;;;0;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Larouci Yasser;DL;9;10;4.63;4.17;4.85;16;3;26;0.72;0.58;0.72;0;0;0;0.63;0.33;0.46;886;138;1201;55.38;46;46.19;;;;1000;3.5;4.5;4.5;0;5;5;5;5;5;0;4.5;0;5;5;6;5;4;3;4;5;5;5;6;0;5;5;5;0;4.5;6.5;0;0;5;0;0;0;0;0;1;;;;;1;11;0.7474;588;11;6;46.79;8;;;5,00;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Desler Mikkel;DL;5;8;4.63;0;5.08;12;0;30;0.77;0;0.95;0;0;0;1;0;1;1008;0;2540;84;0;84.67;;;;1000;0;0;0;0;0;0;4;5.5;4.5;0;3.5;4;5.5;4.5;4;4;5;6;5;5;5;5;6;5;6.5;5;5;5;6.5;3;7;0;6;6.5;6;4.5;5;5;2;;;;1;1;8;0.858;798;16;22;58.93;12;;;5.5;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Locko Bradley;DL;8;10;4.63;5;4.64;15;1;32;0.64;0;0.65;0;0;0;0.87;0;0.69;1059;2;1844;70.6;2;57.63;;;;1000;5;0;0;0;5;0;5;5;5;5;4.5;4;5;5;5;5;4.5;3.5;3;0;4.5;4.5;4;3.5;6;5;4.5;5;4.5;5;0;5.5;4.5;4.5;5.5;3.5;4;0;1.5;;;;;;2;0.776;674;20;16;53.13;10;;;4.25;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Dugimont Rémy;A;7;;4.6;0;4.8;10;0;23;0.21;0;0.54;0;0;2;0;0;0.22;99;0;590;9.9;0;25.65;;295;6;1000;0;0;0;0;0;4.5;0;4.5;4.5;4.5;4.5;4.5;4.5;0;4.5;5;5;0;0;0;0;5;0;4.5;5;4.5;4;6;5;0;4.5;6;0;5;0;4.5;4.5;6;;;;;1;1;;0.5871;80;;;40.91;5;;;5,00;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Sylla Issiaga;DL;9;9;4.59;4.47;4.85;17;15;26;1.03;1.03;1;0;0;0;0.94;0.93;0.85;1376;1196;1964;80.94;79.73;75.54;;;;1000;4.5;6;6;2.5;4;4;4;5;5;4;5;3;5.5;3.5;5;0;0;6;5;0;5;5;7;4.5;5;0;5.5;6;5;5;0;0;0;0;0;0;0;0;4;;;;;2;14;0.7925;1109;38;15;37.02;24;;;5,00;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;Sursis (5sem.)
Mbuku Nathanaël;A;3;5;4.58;0;4.74;6;0;21;0.2;0;0.72;0;0;1;0;0;0.38;60;0;733;10;0;34.9;;733;6.5;1000;0;0;0;0;0;0;4.5;4.5;4.5;4.5;0;5;4.5;0;0;0;0;0;0;0;0;5;5;3;4.5;0;4;5;0;4.5;4.5;6.5;5.5;5;6;5;4.5;0;;;;;;;1;0.8611;45;;1;66.67;;;;4.75;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;🏠Hors groupe (2sem.)
Pentz Patrick;G;7;7;4.57;0;4.57;7;0;7;1.1;0;1.1;0;0;0;1;0;1;630;0;630;90;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;5;5.5;5;5.5;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;10;6;0;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Mendy Batista;DC;10;10;4.56;4.75;4.66;17;4;34;0.98;0.87;0.99;0;0;1;1;1;0.88;1359;320;2529;79.94;80;74.38;;2529;7;1000;4.5;4;4.5;6;0;5;3.5;5;3;4.5;4;6;6;3;0;3.5;5.5;4.5;5;5.5;4.5;7;4;4.5;5;4.5;5.5;3.5;5.5;5;4.5;4;5;4.5;2.5;0;6;0;2.5;;;;;;1;0.8505;829;9;15;53.28;32;;;5.5;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Onaiwu Ado;A;9;10;4.56;4.69;4.81;16;8;34;0.36;0.26;0.84;0;0;5;0.19;0.38;0.5;508;314;1773;31.75;39.25;52.15;;355;5;1000;4.5;5;5;4.5;4.5;5;4.5;4.5;0;0;4.5;4.5;4;4.5;5;4;4;5;0;3.5;7;4.5;6.5;4.5;5;6;4;4.5;6;4.5;4.5;0;5;4.5;7;4.5;3.5;5.5;2;;;;1;;1;0.817;205;;3;50;5;;;4.5;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Dembélé Karamoko;MO;7;9;4.55;0;4.55;10;0;10;0.16;0;0.16;0;0;0;0;0;0;107;0;107;10.7;0;10.7;;;;1000;0;0;0;4.5;4.5;4.5;4.5;4.5;5;4.5;0;0;0;0;0;4.5;4.5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.6317;91;;;45;2;;;4.5;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Doumbia Souleyman;DL;9;9;4.53;0;4.45;16;0;31;0.85;0;0.9;0;0;0;1;0;1;1315;0;2588;82.19;0;83.48;;;;1000;0;4.5;5.5;4;4.5;4;0;0;4.5;4;3.5;6;5.5;3.5;4;5;3.5;4.5;6;5;0;5;4.5;5;3;0;6;5;5.5;0;4.5;4.5;4.5;4;3;0;3;0;1.5;;;;;1;6;0.8177;874;18;22;53.28;18;;;4.5;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Youssouf Mohamed;DL;10;10;4.53;4.59;4.83;15;11;29;0.77;0.74;0.67;0;0;0;0.87;0.91;0.9;1205;919;2369;80.33;83.55;81.69;;;;1000;3;5;4;6;5;4.5;4.5;4.5;4.5;5;4.5;0;5;5;3;4.5;0;0;0;5;5;5;5;5;6;5;6;5;5;0;5;5;5;5;0;0;0;0;2;;;;;;10;0.722;908;34;13;53.68;24;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;Sursis (3sem.)
Begraoui Yanis;A;5;5;4.5;0;4.57;3;0;15;0.5;0;0.56;0;0;0;0.33;0;0.13;63;0;243;21;0;16.2;;;;1000;0;0;0;4;0;0;4.5;0;0;0;0;0;0;0;0;5;0;0;0;4;4.5;4;4.5;0;5.5;0;0;0;6;4.5;0;0;4.5;4.5;4.5;4.5;0;4;;;;;;;;0.7313;31;1;;60;;;;0;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Duverne Jean-Kévin;DC;9;10;4.5;0;4.6;17;0;35;1.02;0;0.93;0;0;1;0.76;0;0.89;1292;0;2883;76;0;82.37;;2883;5;1000;0;4;5;3.5;5;4.5;5;6.5;0;5;5;4.5;4.5;4.5;4;1.5;5;5;4;4.5;5;5;0;6;4;4;4.5;5;5;2.5;6;4.5;5;5.5;4.5;5.5;4.5;3.5;3;;;;;2;6;0.7261;952;10;19;46.71;25;;;5,00;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Grbic Adrian;A;1;2;4.5;0;4.5;2;0;2;0;0;0;0;0;0;0;0;0;23;0;23;11.5;0;11.5;;;;1000;0;0;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.25;11;;;;3;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;🏠Hors groupe (2sem.)
Gharbi Ismaël;MO;3;3;4.5;0;4.75;1;0;2;0;0;0.35;0;0;0;0;0;0;12;0;13;12;0;6.5;;;;1000;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;9;;;25;2;;;0;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Makouana Béni;A;3;3;4.5;0;4.42;8;0;19;0.46;0;0.34;0;0;0;0.13;0;0.11;191;0;344;23.88;0;18.11;;;;1000;0;4.5;5.5;4;0;0;0;0;0;0;0;0;4.5;4.5;0;4.5;4;0;4.5;4;0;4.5;0;0;0;4.5;4.5;4.5;0;4;4;4.5;0;4.5;4.5;0;4.5;0;;;;;;;1;0.4539;75;;;22.58;3;;;4,00;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Meïté Bamo;MD;1;1;4.5;0;4.5;1;0;1;0;0;0;0;0;0;1;0;1;90;0;90;90;0;90;;;;1000;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.8889;55;1;;37.5;1;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Jakolis Marin;A;1;1;4.5;0;4.45;1;0;11;0;0;0.47;0;0;0;0;0;0.18;27;0;251;27;0;22.82;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;4;5;4;4.5;5;0;0;4.5;4.5;5;3.5;4.5;0;0;0;0;0;0;;;;;;;;0.8;14;;1;16.67;1;;;4.5;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;🏠Hors groupe (2sem.)
Jean Dany;MD;1;1;4.5;0;4.5;1;0;1;0;0;0;0;0;0;0;0;0;8;0;8;8;0;8;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.4;9;;;;;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;🏠Hors groupe (2sem.)
